,STATE/UT,HIGHWAYS - Dacoity,HIGHWAYS - Robbery,HIGHWAYS - Burglary,HIGHWAYS - Theft,RIVER and SEA - Dacoity,RIVER and SEA - Robbery,RIVER and SEA - Burglary,RIVER and SEA - Theft,RAILWAYS - Dacoity,RAILWAYS - Robbery,RAILWAYS - Burglary,RAILWAYS - Theft,BANKS - Dacoity,BANKS - Robbery,BANKS - Burglary,BANKS - Theft,COMMERCIAL ESTABLISHMENTS - Dacoity,COMMERCIAL ESTABLISHMENTS - Robbery,COMMERCIAL ESTABLISHMENTS - Burglary,COMMERCIAL ESTABLISHMENTS - Theft,OTHER PLACES - Dacoity,OTHER PLACES - Robbery,OTHER PLACES - Burglary,OTHER PLACES - Theft,TOTAL - Dacoity,TOTAL - Robbery,TOTAL - Burglary,TOTAL - Theft
0,A & N ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,2,13,31,0,2,64,45
1,A&N ISLANDS,0,0,0,0,0,0,1,40,0,0,0,0,0,1,1,20,0,1,115,146,16,64,201,698,16,75,934,1161
2,ANDHRA PRADESH,527,1750,505,6135,3,23,101,503,48,229,152,15703,7,17,286,580,79,263,13281,34585,607,3452,16549,162292,2187,8747,111875,333839
3,ARUNACHAL PRADESH,24,104,9,219,0,2,0,5,0,0,0,1,1,3,2,0,31,183,759,987,112,339,891,2403,296,979,3200,6190
4,ASSAM,457,1157,597,2172,19,15,16,50,34,63,180,1276,16,32,25,85,320,1072,6734,13945,943,4095,13068,43200,4683,9428,43997,108727
5,BIHAR,2387,14381,305,7102,4,38,0,80,531,649,136,17457,171,108,38,262,430,914,3617,18278,1652,7670,7532,74541,12216,26787,49152,197683
6,CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,22,13,76,1064,4864,31,386,180,8881,48,524,3339,21253
7,CHHATTISGARH,134,849,762,1245,5,2,0,13,72,104,36,3252,22,53,120,832,64,202,4047,5922,606,3997,6457,44100,1573,5869,51430,74160
8,D&N HAVELI,1,7,1,43,0,0,0,21,0,0,0,0,0,0,4,3,10,3,150,222,12,11,76,262,41,32,424,869
9,DAMAN & DIU,0,0,0,1,1,0,0,7,0,0,0,0,0,1,3,0,16,5,250,91,17,15,50,432,40,29,520,633
