,STATE,DISTRICT,CASES,cluster
0,A&N ISLANDS,A AND N ISLANDS,807,Very low crime area
1,A&N ISLANDS,ANDAMAN,7377,Very low crime area
2,A&N ISLANDS,CAR,48,Very low crime area
3,A&N ISLANDS,NICOBAR,266,Very low crime area
4,A&N ISLANDS,NORTH,271,Very low crime area
5,A&N ISLANDS,NORTH & MIDDLE ANDAMAN,159,Very low crime area
6,A&N ISLANDS,SOUTH,976,Very low crime area
7,A&N ISLANDS,SOUTH ANDAMAN,556,Very low crime area
10,ANDHRA PRADESH,ADILABAD,68340,High crime area
11,ANDHRA PRADESH,ANANTAPUR,75216,High crime area
12,ANDHRA PRADESH,CHITTOOR,86454,High crime area
13,ANDHRA PRADESH,CUDDAPAH,70998,High crime area
14,ANDHRA PRADESH,CYBERABAD,152842,Very high crime area
15,ANDHRA PRADESH,EAST GODAVARI,107602,Very high crime area
16,ANDHRA PRADESH,GUNTAKAL RAILWAY,490,Very low crime area
17,ANDHRA PRADESH,GUNTAKAL RLY.,3533,Very low crime area
18,ANDHRA PRADESH,GUNTUR,111014,Very high crime area
19,ANDHRA PRADESH,GUNTUR URBAN,22504,Low crime area
20,ANDHRA PRADESH,HYDERABAD CITY,152842,Very high crime area
21,ANDHRA PRADESH,KARIMNAGAR,105564,Very high crime area
22,ANDHRA PRADESH,KHAMMAM,79510,High crime area
23,ANDHRA PRADESH,KRISHNA,81799,High crime area
24,ANDHRA PRADESH,KURNOOL,89876,High crime area
25,ANDHRA PRADESH,MAHABOOBNAGAR,80030,High crime area
26,ANDHRA PRADESH,MEDAK,68981,High crime area
27,ANDHRA PRADESH,NALGONDA,95659,High crime area
28,ANDHRA PRADESH,NELLORE,86976,High crime area
29,ANDHRA PRADESH,NIZAMABAD,69574,High crime area
30,ANDHRA PRADESH,PRAKASHAM,73130,High crime area
31,ANDHRA PRADESH,RAJAHMUNDRY,10969,Very low crime area
32,ANDHRA PRADESH,RANGA REDDY,43228,Low crime area
33,ANDHRA PRADESH,SECUNDERABAD RLY.,7012,Very low crime area
34,ANDHRA PRADESH,SRIKAKULAM,49861,Low crime area
35,ANDHRA PRADESH,TIRUPATHI URBAN,14636,Very low crime area
37,ANDHRA PRADESH,VIJAYAWADA,39350,Low crime area
38,ANDHRA PRADESH,VIJAYAWADA CITY,59354,High crime area
39,ANDHRA PRADESH,VIJAYAWADA RAILWAY,1223,Very low crime area
40,ANDHRA PRADESH,VIJAYAWADA RLY.,5989,Very low crime area
41,ANDHRA PRADESH,VISAKHA RURAL,42178,Low crime area
42,ANDHRA PRADESH,VISAKHAPATNAM,69674,High crime area
43,ANDHRA PRADESH,VIZIANAGARAM,47681,Low crime area
44,ANDHRA PRADESH,WARANGAL,80768,High crime area
45,ANDHRA PRADESH,WARANGAL URBAN,14336,Very low crime area
46,ANDHRA PRADESH,WEST GODAVARI,107069,Very high crime area
48,ARUNACHAL PRADESH,ANJAW,142,Very low crime area
49,ARUNACHAL PRADESH,CHANGLANG,2570,Very low crime area
50,ARUNACHAL PRADESH,CRIME BRANCH,4,Very low crime area
51,ARUNACHAL PRADESH,DIBANG VALLEY,1539,Very low crime area
52,ARUNACHAL PRADESH,K/KUMEY,548,Very low crime area
53,ARUNACHAL PRADESH,KAMENG EAST,1798,Very low crime area
54,ARUNACHAL PRADESH,KAMENG WEST,1601,Very low crime area
55,ARUNACHAL PRADESH,KUKUNG KUMEY,49,Very low crime area
56,ARUNACHAL PRADESH,LOHIT,2764,Very low crime area
57,ARUNACHAL PRADESH,LONGDING,170,Very low crime area
58,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,75,Very low crime area
59,ARUNACHAL PRADESH,PAPUM PARE,6453,Very low crime area
60,ARUNACHAL PRADESH,PAPUM PARE CITY,661,Very low crime area
61,ARUNACHAL PRADESH,PAPUM PARE RURAL,96,Very low crime area
62,ARUNACHAL PRADESH,RURAL,407,Very low crime area
63,ARUNACHAL PRADESH,SIANG EAST,3336,Very low crime area
64,ARUNACHAL PRADESH,SIANG UPPER,824,Very low crime area
65,ARUNACHAL PRADESH,SIANG WEST,3672,Very low crime area
66,ARUNACHAL PRADESH,SUBANSIRI LOWER,1729,Very low crime area
67,ARUNACHAL PRADESH,SUBANSIRI UPPER,2165,Very low crime area
68,ARUNACHAL PRADESH,TAWANG,667,Very low crime area
69,ARUNACHAL PRADESH,TIRAP,1837,Very low crime area
71,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,163,Very low crime area
73,ASSAM,BAKSA,1432,Very low crime area
74,ASSAM,BARPETA,45832,Low crime area
75,ASSAM,BASKA,4122,Very low crime area
76,ASSAM,BIEO,23,Very low crime area
77,ASSAM,BONGAIGAON,16247,Very low crime area
78,ASSAM,C.I.D.,442,Very low crime area
79,ASSAM,CACHAR,58820,High crime area
80,ASSAM,CHIRANG,6130,Very low crime area
81,ASSAM,DARRANG,27238,Low crime area
82,ASSAM,DHEMAJI,14159,Very low crime area
83,ASSAM,DHUBRI,49186,Low crime area
84,ASSAM,DIBANG VALLEY,32319,Low crime area
