,STATE/UT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
8,A&N ISLANDS,168,76,25,141,0,140,116,77,25,0,76,994,1169,89,1080,150,78,324,12,103,1134,255,48,0,66,4584,9848
36,ANDHRA PRADESH,32931,23960,1815,14440,2,14424,22305,15210,6728,81,8038,105565,302807,77184,225623,28472,13063,103934,3269,12418,547162,56546,38780,17,145814,526439,2133585
70,ARUNACHAL PRADESH,927,465,40,583,4,574,1003,578,366,4,904,3200,5676,1234,4442,373,538,623,53,289,5404,905,21,0,830,8116,30495
108,ASSAM,16883,6804,775,18158,5,18130,32762,26803,5892,273,8505,44195,98212,18977,79235,37603,10354,15347,960,8661,76766,16719,113,9,32284,210566,692101
160,BIHAR,44648,45298,3873,14251,2,14225,43790,24030,18548,1321,25266,49458,176260,43049,133211,118662,16747,35877,1136,9026,206617,8148,295,445,49161,614390,1523888
164,CHANDIGARH,267,334,85,340,0,340,827,577,134,35,462,3166,19734,10012,9722,788,434,2548,27,75,835,401,145,0,195,12085,44028
199,CHHATTISGARH,13058,8626,377,13274,0,13210,5359,2893,1174,174,5518,50316,68971,22863,46108,11706,1875,7928,599,3444,88987,21287,1804,5,29194,267752,619227
203,D&N HAVELI,112,32,5,61,0,61,155,94,47,0,32,403,811,302,509,266,164,193,15,60,331,52,5,0,213,1889,4928
207,DAMAN & DIU,75,44,2,22,0,22,41,15,20,1,28,502,595,366,229,270,68,111,30,34,205,18,2,0,328,698,3181
255,DELHI UT,586,770,58,2096,0,1949,7143,2,452,5,6464,17192,78753,23384,55369,160,676,4601,74,190,690,4322,1361,0,1959,21396,155654
262,GOA,521,311,73,445,0,443,388,164,89,0,330,4369,9199,3263,5936,946,643,1436,177,313,2401,530,180,0,2887,10669,36517
311,GUJARAT,14899,6868,487,5090,0,5074,17968,14296,2767,198,15592,66804,227544,105086,122458,23546,17659,18640,2678,5864,138581,10350,1538,0,61517,782494,1517160
350,HARYANA,11577,8217,922,7584,1,7353,11738,7015,4537,2501,6745,58985,151708,98203,53505,14600,9140,17520,391,2109,52925,7011,8290,0,19347,246767,675250
371,HIMACHAL PRADESH,1584,898,139,2087,0,2081,2102,1716,312,1,252,10998,10310,3204,7106,7554,1428,3042,56,1581,16502,4135,499,0,7085,93175,169108
408,JAMMU & KASHMIR,6460,10787,365,3141,0,3141,10525,9056,1163,0,1401,19112,27540,8757,18783,17734,1586,5960,331,3325,4224,12930,4230,0,5306,141056,283003
439,JHARKHAND,20718,13177,1290,10209,5,10152,9899,6101,3634,544,9232,18964,78368,20998,57370,30574,5347,11331,209,2106,41581,4425,265,147,15283,171314,467686
487,KARNATAKA,21573,20737,956,6498,2,6471,11962,5525,5429,3132,19803,83572,220979,94820,126159,84941,5824,53270,1617,4195,253049,28962,1001,47,14363,713923,1618401
519,KERALA,5100,6003,1981,8794,0,8786,3113,1987,1081,1863,9198,52399,67053,23073,43980,102094,4637,49849,1159,6033,234278,35857,3561,0,3870,885838,1644248
526,LAKSHADWEEP,3,6,0,8,0,8,1,1,0,0,0,51,128,11,117,162,4,0,1,27,58,6,2,0,0,357,824
586,MADHYA PRADESH,30673,31897,1975,41163,1,40878,19791,11607,4910,1721,24283,159314,293104,115435,177669,32974,7143,20383,456,11219,424690,89487,9746,60,73696,1324451,2686193
639,MAHARASHTRA,35437,23202,1580,21424,2,21296,18894,11899,4999,3950,47185,216234,613090,188665,424425,98004,22724,89861,4007,15695,361887,49220,13685,3,147232,622346,2523270
656,MANIPUR,2051,3763,47,462,0,462,1993,1159,814,1121,90,874,5835,3607,2228,952,448,1330,92,995,3707,602,3,0,199,13141,38713
673,MEGHALAYA,1889,716,96,1138,0,1135,908,273,577,17,1069,2144,6861,1645,5216,155,368,1187,98,481,1889,637,62,4,830,7087,28928
685,MIZORAM,445,280,73,946,1,938,103,10,87,0,120,5484,10655,555,10100,48,299,804,128,289,1316,913,35,3,380,6058,28286
696,NAGALAND,1096,520,104,250,0,246,429,73,338,0,1080,1248,4220,1336,2884,75,174,435,58,77,555,112,11,1,392,3192,14290
741,ODISHA,15903,17997,730,13408,0,13326,12802,9604,2158,796,16533,43914,92247,25972,66275,22609,3963,15616,263,5757,81292,35489,3318,18,40907,266790,722515
746,PUDUCHERRY,382,358,81,87,1,85,182,122,51,50,95,1167,7790,4799,2991,1824,112,623,32,191,10799,645,292,0,2811,28826,57700
786,PUNJAB,10260,11261,1656,6440,1,6415,9169,6191,2794,1472,1985,32524,55570,23021,32549,34,3891,41648,764,970,59937,5160,797,2,36545,125405,421293
838,RAJASTHAN,17481,23136,970,19557,3,19140,36398,27031,7928,891,10372,76171,262069,122372,139697,36609,10331,161991,783,8835,268844,36852,372,6,87537,865288,2066334
845,SIKKIM,178,125,40,242,1,240,96,62,21,0,77,1042,1145,116,1029,338,64,387,22,120,997,264,17,0,469,2253,8065
896,TAMIL NADU,21932,29519,393,7407,2,7403,17049,13516,3251,381,13241,61657,197129,53686,143443,40152,3282,36225,2581,8824,282192,20431,10272,15,154897,1270780,2253376
918,TELANGANA,1308,1062,123,979,0,965,1152,247,463,1,308,8254,15342,4835,10507,766,635,8519,68,482,1057,3188,1142,0,6514,37013,106830
931,TRIPURA,2162,760,22,2297,0,2282,1569,954,598,13,820,2793,4992,716,4276,2117,419,997,142,607,10538,3265,50,0,1713,14712,58233
1018,UTTAR PRADESH,70593,65743,18678,22525,191,21761,71627,54928,13283,1013,34687,77715,360427,175812,184615,60548,42426,94596,3335,4804,150617,38303,26540,3,128440,693226,2098549
1033,UTTARAKHAND,3166,2798,552,1648,0,1647,3543,2344,1052,37,2145,6175,21772,8248,13524,5668,1894,6000,274,322,10791,1888,1523,1,7341,28568,112360
1082,WEST BENGAL,23426,22048,6692,24196,1,24011,33284,23281,7409,11939,7960,6161,213383,43693,169690,56663,10947,38070,2280,2918,112388,28717,2100,119,43593,486833,1312352
